time,cu_area_h,imc1_area_h,imc2_area_h,imc3_area_h,imc4_area_h,imc5_area_h,sn_area_h
0,125447.25042079,3102.2925075918,1361.2210790204,3102.2925075918,924.35883412245,1868.2363851429,114194.34826574
35901.36235651,124897.62904962,3357.5735339841,1529.5689954988,3355.3577853275,1061.3224251987,2065.3664101112,113733.18180026
102095.0110309,123861.71540679,4202.2491010391,2133.8801094409,4201.0676654913,1573.2197697136,2742.7394041719,111285.12854335
153234.88831119,123069.62785932,4970.3517045485,2735.4302972722,5014.1829815422,2099.901817216,3370.210656302,108740.29468379
242273.85779758,121858.55410157,6195.8827908496,3685.7421155744,6330.0572380621,2927.0203567933,4354.6333505363,104648.11004661
323710.22842646,120731.91209633,7273.6197510221,4481.6748920375,7476.4640683936,3623.2903001968,5204.7041815156,101208.33471051
388982.84074042,119849.88386644,8092.9446181247,5074.8078529975,8346.7892965694,4140.4401852408,5850.495141997,98644.639038631
451564.26403184,119004.09230086,8856.8909306822,5613.0587336501,9158.7739078266,4608.9536171513,6447.1266398749,96311.103869958
516672.37840294,118143.68229572,9627.9221247751,6146.4244419987,9975.882428075,5073.5976214882,7043.9780249001,93988.513063043
585614.89696983,117235.75756273,10421.356188674,6686.5288295885,10819.064880052,5543.1546371993,7657.1052037685,91637.032697988
651975.5581104,116372.70792637,11166.613496565,7183.1634021807,11614.318235077,5972.8204774933,8230.2943831576,89460.082079155
719244.45231894,115502.96723987,11902.869485767,7668.0437338493,12400.400834935,6387.4928793336,8791.0722138882,87347.15361236
785421.19868167,114654.89699861,12601.518355296,8116.8895513659,13165.042810031,6770.4165989752,9340.4790156777,85350.756670047
853796.82295946,113772.51441797,13317.263470791,8565.7709827016,13934.731300614,7157.8865764536,9880.4284530848,83371.404798382
922207.60306172,112892.35826899,14010.037923268,9006.0759332297,14688.250771271,7521.9135690988,10409.041450949,81472.322083196
989426.22292831,112039.64275097,14672.488203265,9425.239212661,15404.488869679,7872.1911325073,10903.87997362,79682.069857294
1062593.4299723,111079.74744233,15381.950654822,9864.3425145996,16174.518489434,8236.9739862001,11435.745692939,77826.72121968
1128308.8648212,110259.86746464,15992.171971864,10240.967548905,16836.988473913,8552.3077596245,11895.257816333,76222.438964725
1192220.5054017,109474.0611918,16570.008956305,10591.869507831,17460.467284891,8850.1465354505,12328.091142367,74725.35538135
1255569.869999,108674.00706124,17135.225449386,10934.957691968,18072.865570876,9137.1239626505,12750.301563206,73295.518700672
1331053.7221065,107717.07790027,17796.218756932,11323.632228839,18793.112090834,9457.6792871687,13238.5754527,71673.704283253
1401616.9326129,106822.34014915,18392.436364391,11678.526489669,19440.89473218,9757.6539477525,13681.292458014,70226.855858849
